Country,Fish,Birds,Mammals
Afghanistan,4,16,11
Albania,44,8,3
Algeria,41,15,14
Andorra,0,3,2
Angola,53,32,18
Antigua and Barbuda,31,3,2
Argentina,42,52,38
Armenia,3,14,9
Australia,125,52,63
Austria,11,13,3
Azerbaijan,14,17,8
Bahamas,43,10,5
Bahrain,14,7,3
Bangladesh,29,36,37
Barbados,29,4,3
Belarus,2,9,4
Belgium,13,8,2
Belize,45,6,10
Benin,40,12,13
Bhutan,3,21,25
Bolivia,8,55,21
Bosnia and Herzegovina,36,7,4
Botswana,2,16,11
Brazil,93,175,80
Brunei,14,31,33
Bulgaria,22,17,8
Burkina Faso,4,12,9
Burundi,17,15,14
Cambodia,48,31,39
Cameroon,122,29,46
Canada,44,24,18
Cape Verde,35,7,4
Central African Republic,3,16,16
Chad,1,16,16
Chile,27,35,19
China,136,96,73
Colombia,99,126,58
Comoros,11,14,5
Costa Rica,64,27,11
Cote d'Ivoire,59,25,31
Croatia,64,14,9
Cuba,44,19,10
Cyprus,24,7,6
Czech Republic,2,9,3
Dem. Rep. of Congo,94,42,32
Denmark,18,9,2
Djibouti,23,12,11
Dominica,31,7,3
Dominican Republic,29,17,7
Ecuador,61,106,47
Egypt,58,14,18
El Salvador,17,7,6
Equatorial Guinea,44,6,23
Eritrea,29,21,15
Estonia,5,9,1
Eswatini,5,13,9
Ethiopia,14,35,34
Fed. Sts. Micronesia,25,12,5
Fiji,20,14,7
Finland,6,11,2
France,53,16,9
Gabon,72,7,18
Gambia,35,14,10
Georgia,11,14,9
Germany,24,11,5
Ghana,58,23,21
Greece,80,17,10
Grenada,29,2,3
Guatemala,41,17,15
Guinea,76,20,30
Guinea-Bissau,41,12,14
Guyana,33,16,11
Haiti,30,17,4
Honduras,45,14,8
Hungary,9,13,3
Iceland,16,7,6
India,227,93,93
Indonesia,166,160,191
Iran,47,28,18
Iraq,19,17,13
Ireland,28,9,5
Israel,50,18,15
Italy,52,17,8
Jamaica,30,11,7
Japan,77,49,29
Jordan,20,14,13
Kazakhstan,14,27,16
Kenya,74,44,30
Kiribati,14,6,2
Kuwait,18,11,7
Kyrgyz Republic,3,15,5
Lao,55,29,45
Latvia,6,11,1
Lebanon,28,11,10
Lesotho,1,8,4
Liberia,64,14,24
Libya,32,8,10
Liechtenstein,0,2,0
Lithuania,6,10,2
Luxembourg,1,3,0
Madagascar,111,37,121
Malawi,36,19,10
Malaysia,87,63,71
Maldives,24,0,2
Mali,2,17,14
Malta,22,5,2
Marshall Islands,18,4,1
Mauritania,45,19,18
Mauritius,21,12,7
Mexico,181,71,96
Moldova,8,11,4
Monaco,15,0,3
Mongolia,2,24,11
Montenegro,32,13,6
Morocco,54,18,18
Mozambique,72,30,17
Myanmar,53,56,49
Namibia,33,32,15
Nauru,11,2,2
Nepal,7,38,29
Netherlands,15,10,3
New Zealand,38,69,9
Nicaragua,40,17,7
Niger,4,13,13
Nigeria,74,21,31
North Korea,20,29,10
North Macedonia,13,13,6
Norway,23,11,8
Oman,36,13,10
Pakistan,46,33,25
Palau,21,6,4
Palestine,2,15,4
Panama,57,25,17
Papua New Guinea,61,39,41
Paraguay,0,27,10
Peru,52,119,53
Philippines,91,93,38
Poland,8,11,4
Portugal,67,15,13
Qatar,17,9,4
Rep. of Congo,57,7,15
Romania,22,17,9
Russia,39,57,34
Rwanda,7,20,24
Samoa,16,6,2
San Marino,0,0,0
Sao Tome and Principe,25,12,4
Saudi Arabia,41,18,11
Senegal,58,19,19
Serbia,15,13,6
Seychelles,24,13,6
Sierra Leone,57,16,22
Singapore,29,22,14
Slovak Republic,5,12,4
Slovenia,33,10,6
Solomon Islands,24,24,19
Somalia,31,21,16
South Africa,121,54,30
South Korea,28,33,12
South Sudan,0,21,14
Spain,83,19,17
Sri Lanka,57,16,30
St. Kitts and Nevis,30,3,2
St. Lucia,30,7,2
St. Vincent and the Grenadines,29,4,2
Sudan,32,26,16
Suriname,32,9,9
Sweden,15,11,1
Switzerland,9,9,3
Syria,51,17,14
Tajikistan,5,15,7
Tanzania,179,49,41
Thailand,106,62,59
Timor-Leste,13,6,5
Togo,38,13,13
Tonga,16,5,2
Trinidad and Tobago,37,5,2
Tunisia,39,11,14
Turkey,131,20,19
Turkmenistan,13,19,10
Tuvalu,13,1,2
Uganda,60,30,31
Ukraine,24,17,11
United Arab Emirates,20,13,8
United Kingdom,48,11,5
United States,251,91,40
Uruguay,45,22,10
Uzbekistan,7,19,10
Vanuatu,18,8,8
Venezuela,45,52,35
Vietnam,83,52,56
Yemen,40,16,11
Zambia,20,20,13
Zimbabwe,3,19,10
